protocol,model,feature,importance
Balancer,RandomForest,tvl_market_share,0.46365551202445715
Balancer,RandomForest,mc_log_lag_1,0.15682683274163461
Balancer,RandomForest,mc_lag_1,0.12530641253608454
Balancer,RandomForest,mc_momentum_30d,0.07267765566008812
Balancer,RandomForest,tvl_growth_30d,0.06517351956130737
Balancer,RandomForest,tvl,0.02386760896954394
Balancer,RandomForest,mc_drawdown,0.016386975290616775
Balancer,RandomForest,mc_bb_position,0.013729312657043741
Balancer,RandomForest,tvl_growth_3d,0.005376536846366846
Balancer,RandomForest,tvl_trend_14d,0.005212626887180079
Curve,RandomForest,tvl,0.4857866760433054
Curve,RandomForest,tvl_lag_1,0.080598719202139
Curve,RandomForest,tvl_30d_avg,0.05378386876120765
Curve,RandomForest,mc_log_lag_3,0.045312216292317485
Curve,RandomForest,mc_bb_upper,0.043850915648366184
Curve,RandomForest,mc_log_lag_1,0.04350045106675399
Curve,RandomForest,mc_7d_avg,0.040477514861518876
Curve,RandomForest,mc_log_lag_30,0.039550390920153125
Curve,RandomForest,mc_cummax,0.032007268119445174
Curve,RandomForest,tvl_market_share,0.025593916897661093
PancakeSwap,RandomForest,tvl,0.8519433747199168
PancakeSwap,RandomForest,mc_drawdown,0.11648598187794408
PancakeSwap,RandomForest,ma_crossover_signal,0.006745579173439799
PancakeSwap,RandomForest,tvl_lag_1,0.006014653018998931
PancakeSwap,RandomForest,mc_log_lag_1,0.003150945167408685
PancakeSwap,RandomForest,mc_lag_1,0.001763020922225063
PancakeSwap,RandomForest,tvl_7d_std,0.0016523688882506284
PancakeSwap,RandomForest,tvl_trend_14d,0.001555888352653582
PancakeSwap,RandomForest,fees_7d_avg,0.0006691381015391273
PancakeSwap,RandomForest,day_of_month,0.0006365029392548724
SushiSwap,RandomForest,mc_drawdown,0.9251185271045551
SushiSwap,RandomForest,tvl,0.022635274340758692
SushiSwap,RandomForest,mc_log_lag_1,0.0069640666029692115
SushiSwap,RandomForest,volume_7d_std,0.006187007873893495
SushiSwap,RandomForest,volume_7d_cv,0.004983049250852578
SushiSwap,RandomForest,mc_lag_1,0.0028314443496932056
SushiSwap,RandomForest,tvl_lag_1,0.0022706830562600703
SushiSwap,RandomForest,mc_momentum_30d,0.0021734599397591754
SushiSwap,RandomForest,mc_lag_3,0.0017731383501256158
SushiSwap,RandomForest,mc_volatility_7d,0.001597876385634992
Uniswap,RandomForest,mc_drawdown,0.7279720239631807
Uniswap,RandomForest,tvl,0.11776276126626252
Uniswap,RandomForest,mc_lag_1,0.028975954244730654
Uniswap,RandomForest,mc_log_lag_1,0.027823029743765222
Uniswap,RandomForest,mc_7d_avg,0.02306891960179593
Uniswap,RandomForest,tvl_7d_avg,0.01457433789810933
Uniswap,RandomForest,rsi_14,0.012066000205596538
Uniswap,RandomForest,tvl_lag_1,0.009739363850583934
Uniswap,RandomForest,mc_lag_3,0.007483203273609904
Uniswap,RandomForest,fees_7d_avg,0.004853305222530363
